λ, нм	n	T	R   Б-SiOAlLi (сто нм)            751
1045	1,4497	0,597497653	0,349302424
1046	1,4497	0,597763947	0,349145429
1047	1,4497	0,598074943	0,349017849
1048	1,4497	0,598456648	0,348552447
1049	1,4497	0,598644154	0,348313156
1050	1,4497	0,598885974	0,348460899
1051	1,4497	0,598786429	0,348278773
1052	1,4497	0,599005153	0,348144992
1053	1,4497	0,599026913	0,347989532
1054	1,4496	0,599526996	0,347760957
1055	1,4496	0,599776917	0,347614756
1056	1,4496	0,59989248	0,347653826
1057	1,4496	0,600041349	0,347658499
1058	1,4496	0,600279932	0,347397823
1059	1,4496	0,600469946	0,347357422
1060	1,4496	0,600629134	0,347239498
1061	1,4496	0,601399339	0,347022662
1062	1,4495	0,601757507	0,347140243
1063	1,4495	0,601904027	0,347054725
1064	1,4495	0,602041534	0,346826384
1065	1,4495	0,602263935	0,346621124
1066	1,4495	0,60183957	0,346404144
1067	1,4495	0,602307099	0,34618088
1068	1,4495	0,602650504	0,34600646
1069	1,4495	0,602526367	0,346107467
1070	1,4495	0,602477986	0,345945689
1071	1,4494	0,602621195	0,345848285
1072	1,4494	0,602759599	0,345712634
1073	1,4494	0,602676375	0,345405839
